  NTPC Limited ,NTPC
 ACC CEMENTS,ACC
 Airbus Engineering Centre India Private Limited ,Airbus
 ARGUS ELECTRONICS SECURITY SYSTEMS PVT. LTD.,Argus Technologies
 Bharati Shipyard,Bharati Shipyard
 BPCL,Bharat Petroleum
 COGNIZANT TECHNOLOGY SOLUTIONS,Cognizant
 D.M.P.nirman pvt ltd.spd construction ltd,D.M.P. Nirman
 Deloitte Consulting,Deloitte
 E-Valuserve,Evalueserve
 Essar Steel Ltd.,Essar Steel
 GAMMON INDIA ,Gammon Group
 GE Energy HTC,GE Energy
" Grail Research India, Pvt. Ltd",Grail Research
 I2 TECHNOLOGIE,i2i Technologies
 impresario entertainment  Hospitality pvt ltd,Impresario Entertainment & Hospitality
 Intel India Technology ,Intel
 IOCL R&D ,IOCL
 Kirloskar Brothers Ltd ,Kirloskar Brothers
 L n T ,L&T
 LM Glassfiber,LM Glasfiber
 Mahindra & Mahindra Ltd ,Mahindra & Mahindra
 MAHINDRA COMVIVA,Mahindra Susten
 NMDC LIMITED,NMDC
 RBEIczcz,Bosch
 Reliance Industries Limited ,Reliance
 Samsung Software India Centre ,Samsung
 Tata Consultancy Services,TCS
 TATA Consulting Engineers Limited,TCE
 Tower Research (Lime Group),Tower Research Capital
 WIPRO TECHNOLOGIES,WIPRO CONSUMER CARE & LIGHTING
 ZS Associate ,ZS Associates
'Reserve Bank Of India (RBI)' on payroll of 'AUDITime Quality Management Pvt Ltd',Reserve Bank of India
(Kgd) Khan Global Engineering Consultants (P)Ltd,KGD Architecture
Creative Peripherals and Distribution Systems,Creative Peripherals and Distribution
1000 isaland Resorts,1000 Island Hotels & Resorts
24/7 Innovation Labs,[24]7 Innovation Labs
3DPLM SOFTWARE,3DPLM Software Solutions
3I-Infotech,3i Infotech
4thpointer services,FourthPointer Services
Dailysis Technicians,Dailysis Technician
A.A.PMC and engineering LLP,A. A. PMC AND ENGINEERING LLP
A.C.T,ACT
A2Z infrastructure,A2Z Group
A2Z Maintenance ,A2Z Maintenance & Engineering Services
A4e India Pvt. Ltd.,Airlines for Europe
Aaditri clothing,Aaditri
AAKRUTI ENGG. SERVICES AND TRAINING CENTER,Aakruti Engineering Services & Training Center
Aarati Drugs Limited,Aarti Drugs
ABI-SHOWATECH INDIA LTD.,Showatech
ABM Knowledgeware Ltd,ABM Knowledgeware
ABSAS SOLUTION PVT LTD,ABSAS Solutions
Absolute India Mechatronics.Pvt.Ltd (BridgeIT Automation),Absolute India Mechatronics
Absotherm Facility Management Westin Hotel Pune,Absotherm Facility Management
Abyssinia cement plc in Ethiopia,Abyssinia Cements PLC
ACB INDIA LTD,ACB (India)
